ApplID,lat,long
S017105,35.6547,-120.8294
A030687,38.7877446,-122.9918674
A030687,38.78766394,-122.9851999
A030687,38.78411096,-122.9832211
A031572,38.93645319,-121.6344624
A031572,38.93789464,-121.6344233
A031572,38.94507239,-121.6344602
A031572,38.95233848,-121.6381643
A031572,38.95925479,-121.6533501
A031572,38.96686381,-121.6381149
A031572,38.93234207,-121.6356941
S010581,34.43386914,-118.3415172
S017102,35.6561,-120.8223
A030688,38.7877446,-122.9918674
L032542,35.61636944,-121.1036139
L032791,40.112,-122.405
S026152,40.112,-122.405
L032705,38.41987,-120.80977
L032705,38.4332074,-120.8035356
A005270,39.39522969,-121.7003111
A008570,39.49316288,-122.1137708
A014900,39.60437964,-122.1984206
A014900,39.59710664,-122.1969806
S022194,41.8252,-121.7316
S022195,41.8158,-121.7278
D032327,40.16801596,-123.8843357
D032327,40.168346,-123.884518
S009475,35.22195104,-120.67639
S017601,36.1714,-121.0877
S017607,36.1687,-121.1
S017626,36.1575,-121.0656
S017629,36.1575,-121.0656
S017623,36.1575,-121.0656
D032580,40.0968,-123.7475
S002926,38.2643716,-122.4301542
S018468,38.2617,-122.4327
D032619,41.281312,-123.547642
D032550,40.473198,-123.876358
D032920,39.857,-123.5706
D032577,40.1316,-123.74999
D032626,40.65588017,-122.9289164
D032757,40.03979722,-123.9688944
H500163,39.7347,-123.5388
L032918,38.28059603,-122.7450072
L032919,38.2809435,-122.7507066
S004680,38.2856732,-122.582178
S022932,39.2668,-123.6012
S019325,39.087,-123.1547
A031383,39.08701003,-123.1549706
D032480,40.47383333,-123.7568444
S023032,38.5448,-122.9411
S023055,38.3252,-122.9086
D032275,38.54699,-122.94079
D032693,41.9703,-123.7507
D032693,41.971,-123.7567
L032353,38.3252,-122.9086
S016616,34.613,-120.2275
S015632,41.73991933,-122.3272127
A023702,40.85513354,-122.2267005
A023702,40.85651172,-122.2238129
H500360,39.8092,-123.6166
D032764,34.619466,-118.425835
S015468,40.51427833,-121.9800651
S016931,40.1058,-123.9267
D032461,40.8477588,-123.7446135
S013886,37.29343918,-119.6085676
S021527,41.4197,-122.8471
D032341,40.15234444,-123.8618139
S021528,41.4171,-122.8451
S015775,41.60639569,-124.0978002
S001806,37.88889454,-122.5658109
S001807,37.88889454,-122.5658109
S022057,40.6116,-121.8117
D032687,40.138989,-123.896419
D032655,40.01297,-123.988
D032474,40.0678,-123.835
H500296,39.5033,-123.4272
S021140,41.4541,-120.3624
D032401,40.337,-124.234
D032401,40.34,-124.235
S021141,41.4643,-120.3891
S021456,41.9863,-120.2891
S021147,41.4515,-120.3781
D032829,39.25313193,-120.2094441
S021136,41.4538,-120.3813
S021142,41.4669,-120.3863
S021144,41.4667,-120.3926
S021457,41.9862,-120.2841
S021143,41.4597,-120.3758
S021145,41.4648,-120.3843
D032513,40.05650833,-123.9790861
A032904,36.69916801,-121.3845622
D032713,38.41667004,-122.9185282
H500240,40.4681,-123.6466
S027248,40.6041,-122.8266
L032561,38.421535,-120.974356
D032725,38.58799,-122.9617
D032282,40.81238222,-123.4899361
D032310,39.2648,-123.5967
D032820,40.02372,-123.942
D032820,40.022195,-123.94387
D032505,39.976,-123.69
D032505,39.974,-123.693
H500244,38.9927,-123.215
D032528,40.232,-124.171
D032528,40.235,-124.172
D032456,40.42383889,-123.6048444
D032659,40.085,-123.833
D032407,40.1098,-123.8924
A030092,34.23105106,-118.9343772
A003425,41.31108429,-120.1401036
H500201,40.9602,-123.7494
A029819,34.23248747,-118.9545758
H500272,40.2237,-123.3058
S027690,40.55,-124.07
L032562,38.418712,-120.972494
D032805,40.58524874,-122.2760556
S027691,37.60131114,-120.3835496
S027694,37.80699238,-120.6077639
S027693,37.80357178,-120.6093166
T032899,38.7135414,-122.0847741
S027692,37.81613468,-120.613832
A032901,38.50985137,-120.7267553
A032901,38.50918755,-120.7292254
A032902,38.45753945,-120.9427104
A032902,38.45700414,-120.9427316
A032902,38.4569006,-120.9407215
A032903,38.46155261,-120.9521851
A032903,38.46177313,-120.955615
A032903,38.46165305,-120.9553933
D032761,40.2685,-123.7823
D032354,40.14398753,-123.6312509
D032354,40.13982054,-123.6307252
L032716,38.20110907,-122.6492471
L032716,38.19888224,-122.648839
D032355,40.0208,-123.7477
S022907,38.19888171,-122.6488401
S014510,39.08450285,-120.68305
S014512,39.08194223,-120.6873255
S012970,39.08450285,-120.68305
D032304,40.243489,-124.159706
S014511,39.08450285,-120.68305
D032361,40.00915536,-123.8366712
S027688,40.164733,-123.980175
S027689,40.166815,-123.979957
S020023,33.692,-117.8216
S027685,40.2375,-123.8766
D032314,39.0239,-123.125
D032323,40.1501,-123.8735
D032607,40.8391,-123.7726
D032607,40.8399,-123.7637
D032486,39.887,-123.59
D032423,40.481,-123.654
D032423,40.482,-123.663
S014126,40.12922977,-120.2795151
S014127,40.12859981,-120.2777964
S027682,37.12690278,-120.2735667
S027683,37.15233611,-120.2917167
S027680,37.15154167,-120.2746667
S027678,37.15226667,-120.2765306
S027679,37.14894444,-120.2954417
S027677,37.14736944,-120.29915
S027681,37.15153056,-120.2745111
S027684,37.14966667,-120.2960944
H500139,39.6934,-123.4723
A032898,38.9199587,-122.9742003
H500134,40.5655,-123.2396
D032516,40.975,-124.009
D032363,40.010596,-123.8495
D032618,40.059,-123.758
S013427,39.88168992,-121.5981126
D032359,40.01477222,-123.8290694
D032343,40.06795055,-123.8318111
D032609,40.139,-123.962
H500064,39.8361,-123.4548
H500064,39.8369,-123.4476
H500064,39.8353,-123.4566
A020650,38.69626352,-122.9471438
D032897,40.67939,-123.81675
D032627,40.152,-124.0023
D032627,40.148,-124.0025
S027676,40.23716667,-124.1623611
D032807,40.1885,-123.883
D032636,40.427,-123.5999
D032817,40.092,-123.682
S027675,40.42691753,-123.599403
D032634,40.9334,-123.707
D032634,40.93299,-123.70399
D032767,40.27932,-124.05698
D032745,40.0862,-123.834
T032849,36.83212963,-119.3255641
D032239,40.113408,-123.943143
S027672,41.4842,-122.5673
L032510,38.5194609,-122.3350509
D032821,39.00738,-122.7598
S027674,41.479,-122.565
D032533,39.884,-123.558
D032533,39.887,-123.556
L032690,37.84179153,-121.8780472
L032690,37.84206278,-121.8783443
D032509,38.5191117,-122.3364971
L032846,37.8204808,-121.7921662
L032846,37.82951577,-121.7906773
L032846,37.83323239,-121.7919369
S027671,41.4897,-122.555
A032896,38.08585608,-120.7602006
D032686,38.4725,-122.33392
L032526,41.06030686,-124.1229062
S025514,38.4725,-122.334
S026064,37.37863955,-120.9879176
S027673,37.000838,-120.010539
S027667,39.47853,-123.41419
D032850,38.56569,-122.74813
S027666,40.81845847,-123.494931
S027668,40.81924328,-123.4949364
S022769,38.5658,-122.7478
H500108,39.4769,-123.7287
H032895,40.25029,-124.16122
H032895,40.25045,-124.16134
H032895,40.25065,-124.16048
S027633,39.673807,-123.488397
A025624,39.32565603,-120.1754293
D032894,41.2647,-123.7542
A023350,39.3536185,-120.1032546
A023350,39.34188221,-120.0908378
A028983,39.5643815,-120.0278573
S027670,41.900675,-122.5496833
S027669,41.89703889,-122.5205861
D032893,40.5638111,-123.2155669
D032893,40.56372082,-123.2158622
S027648,38.463985,-122.922991
D032891,40.0355,-123.9461
D032891,40.0361,-123.9481
A032890,39.40947678,-123.3852173
S027665,39.225688,-120.107034
S027632,37.679764,-118.808062
T032520,33.5583,-117.5886
T032520,33.5587,-117.5871
T032520,33.5597,-117.5887
T032874,37.477507,-120.6937657
S027620,38.59877315,-122.7585277
A031004,39.14,-123.5411
S019735,39.14,-123.5411
D032393,40.263,-124.107
D032393,40.264,-124.111
D032734,39.5052,-123.4054
S027630,38.0859,-120.7601
S027631,38.0846,-120.7561
A032889,38.59877315,-122.7585277
S027608,40.666313,-122.785999
S027607,40.282677,-123.427204
S027601,40.568006,-123.110911
S019400,38.7878,-122.9918
S019403,38.7875,-122.9847
S027612,40.55059,-123.139062
A016163,38.6550943,-122.9444957
T032842,36.18513064,-120.0570115
T032842,36.2110789,-120.0681641
T032842,36.19630744,-120.0571531
S027611,40.551405,-123.139587
S027615,40.551405,-123.139658
S027613,40.16869108,-123.9729198
A022411,41.65215601,-122.9792107
S027614,40.010569,-123.789651
S027618,39.406658,-123.127496
S027617,39.07447,-120.139278
S027647,38.554444,-123.100833
S027616,39.407663,-123.127558
D032496,40.57557222,-123.0807139
D032496,40.57467222,-123.0799889
D032517,40.0221,-123.9442
L032884,36.77191567,-121.2348412
L032884,36.77197056,-121.2382171
L032884,36.77578681,-121.2529695
L032884,36.77280821,-121.2336888
L032884,36.77343785,-121.2304317
S027579,36.77578681,-121.2529695
S027577,36.77197056,-121.2382171
S027581,36.7804186,-121.2560523
S016598,38.4367,-121.5251
S027578,36.7578892,-121.2363306
S027576,36.77191567,-121.2348412
S027573,36.75897542,-121.2162498
S027583,36.76640724,-121.2544
S027574,36.7734351,-121.2304317
S027584,36.78701233,-121.2581031
D032247,39.1899,-123.6676
S027575,36.77280821,-121.2336888
S027582,36.76966911,-121.2545157
L032883,36.758848,-121.2162089
L032883,36.75775268,-121.2362381
S027580,36.77272699,-121.2543761
A032881,36.94070704,-121.7436468
D032245,40.1732,-123.9728
D032394,40.250096,-124.160973
D032394,40.25298,-124.156359
D032394,40.248813,-124.161867
L032885,36.77272699,-121.2543761
L032885,36.78701233,-121.2581031
L032885,36.76640724,-121.2544
L032885,36.7804186,-121.2560523
L032885,36.7696695,-121.2544952
L032378,37.73068,-121.78659
S027644,39.03,-123.116
H032698,40.2554,-124.0475
S027646,39.252528,-120.209804
S027645,40.7420573,-122.870731
S027643,39.933719,-123.576296
S027661,39.981023,-123.697818
D032400,40.055322,-123.818449
S027626,41.2567,-123.7428
S013975,34.463317,-119.638594
L032391,37.62911,-122.01191
L032682,37.63462,-122.0249
L032388,37.62458,-122.00481
S027627,41.1707,-123.4341
S027628,41.2859,-123.7266
S016139,36.8326,-118.231
L032389,37.62377,-121.97161
S027651,38.8558,-122.7683
S016138,36.8325,-118.2318
S024526,38.770139,-122.911949
S016136,36.8324,-118.2332
L032390,37.6225,-122.00013
S016137,36.8325,-118.2325
S027567,40.7314,-123.2462
D032879,40.5461,-123.2369
D032346,38.770139,-122.911949
S016135,36.8328,-118.2342
S027532,38.25679444,-120.421175
S027531,40.87826111,-123.7626444
S027592,39.30218,-122.87571
L032135,38.2809489,-122.7507206
L032134,38.28060143,-122.7450212
S027621,39.03667778,-123.4142
S027660,35.13493333,-120.5068583
S027529,40.896426,-123.634505
S027524,34.61187778,-120.2176556
D032399,37.034,-121.709
L032376,37.2970902,-122.1959082
S027593,39.29518,-122.87048
S027572,39.08396389,-123.1868917
S027509,40.080412,-123.767072
S027518,40.2153,-123.5632
S027594,39.30284,-122.8931
S027605,40.0853,-123.7032
D032483,39.375,-121.241
S025049,39.37500008,-121.241001
S027610,39.88222222,-123.5127778
S027538,39.72755,-123.49439
L032279,39.25425821,-123.2560898
S027537,38.25680079,-120.4212402
S027530,40.87660556,-123.7672306
S027603,40.0965,-123.8439
S027519,39.08250556,-123.1868917
S027591,39.30578,-122.87963
S027539,39.72767,-123.4944
S027654,38.353453,-122.825182
S027571,39.50776,-123.36448
S027508,40.1884,-123.8917
S027510,40.082407,-123.772721
S027523,39.6575,-123.4862
S027533,39.99543056,-123.8718889
S027536,40.95200556,-123.6815028
S027609,40.278453,-123.425723
S027535,40.95461111,-123.6845056
S027534,40.22946389,-124.1344667
S027507,40.277044,-123.795389
S027527,34.61308611,-120.3106694
L032472,37.98821899,-122.1952963
S027540,41.145101,-122.536337
S027642,40.331914,-124.228239
S027606,40.0058,-123.7737
S027595,39.29238,-122.87651
S027511,40.081451,-123.773651
D032773,38.708333,-120.641944
S027624,39.90986667,-121.7336667
S026814,39.42924444,-123.1685472
S027655,39.51055556,-123.4105556
S027520,40.26584994,-124.0464808
L032270,40.702344,-122.229181
S027589,39.860275,-123.571194
S027597,38.87423,-123.10799
S026762,40.127,-123.71
S027587,39.97222778,-123.9694306
S027521,34.9198,-120.1402
S027481,40.964,-123.5842
S027489,39.228067,-123.461226
S027488,39.965162,-123.484785
S027490,40.737232,-123.95321
S027522,40.4281,-123.2439
S027484,40.190668,-123.824978
S027482,40.192956,-123.82382
S027493,40.47624444,-123.6298167
S027483,40.193026,-123.821393
S027650,38.97126,-123.183604
S027570,40.4169,-123.9373
S027505,40.0804,-123.7565
S027504,40.1465,-123.6349
S027506,40.2218,-123.6052
S027619,39.402795,-123.306221
S027664,38.9729542,-123.1163918
S027492,40.72616261,-123.9035538
S027590,41.02111111,-122.6076944
S027600,40.26986111,-123.6576389
S027487,39.44309,-123.0735
S027491,39.19262,-123.13776
S027486,39.47906,-123.37786
S027485,39.69889,-123.64786
S027563,40.4324,-123.6843
S027569,40.4376,-123.6761
S027467,39.366003,-123.397086
S027468,39.68643333,-123.4939639
S027465,41.976105,-123.728819
D032878,33.67705215,-117.5165165
D032366,40.0695,-124.0008
S027466,39.66111111,-121.6302778
S027464,40.53191111,-124.0427583
S027463,40.53358333,-124.0462028
S027470,41.977126,-123.726209
S027641,40.455744,-122.616514
S027640,40.458361,-122.607721
S027459,40.7427,-123.2558
S027458,40.7414,-123.2557
S027455,38.19086389,-121.5752083
A027213,39.32396809,-122.2474749
S027456,38.49025,-122.6355333
S027469,39.25445278,-123.5700944
S027462,34.98334167,-119.8005694
S027494,39.1903671,-122.514904
S020286,38.2878,-121.6049
C000551,38.22219693,-120.5375862
S027499,37.613425,-121.1679306
S027498,37.62670972,-121.2130539
S027497,37.60408333,-121.18
S027495,40.791197,-123.484565
A025988,34.64413467,-118.7637461
D032872,41.0602,-124.1066
A032871,40.57800692,-123.0819926
S027496,40.11385,-123.9403
D032309,38.37681285,-122.420734
D032307,38.37681285,-122.420734
S027512,38.226986,-120.857759
S027439,40.6525954,-122.8955087
A018436,41.48694132,-120.0007875
A018436,41.48455321,-120.005606
S027629,40.16366,-123.702738
S027422,40.16366,-123.702738
S027423,40.72073056,-122.9556389
A003137,34.50914502,-118.3811879
A027001,38.51815917,-122.8471969
A028666,36.78118852,-121.2788103
A028666,36.77511493,-121.280339
S022491,37.9112,-121.3671
D032869,40.6706065,-122.9130354
S019551,37.9053,-121.3919
S022492,37.9097,-121.3669
S020078,37.8755,-121.3775
S027395,40.17554205,-124.0366745
D032252,38.38097772,-122.400351
A016875B,36.843608,-121.5509231
A016875B,36.84107655,-121.5539196
S027658,41.14077778,-122.6848194
A016875,36.8568,-121.5564
A016875,36.8411,-121.5539
A016875,36.8436,-121.5509
A016875,36.8512,-121.5605
A016875,36.8563,-121.5501
A016875,36.86080453,-121.553686
A016875,36.8653,-121.5754
A016875,36.8535,-121.5525
A016875A,36.86080442,-121.553687
A016875A,36.85632367,-121.550051
A016875A,36.85675674,-121.5564012
A016875A,36.85117055,-121.5605139
A016875A,36.86530415,-121.5753694
A016875A,36.85346353,-121.5524867
S027413,38.66204949,-122.7561498
S027564,38.255,-122.3591
S027412,40.978644,-124.018611
D032385,40.8478,-123.7457
D032749,38.4516398,-120.9955414
S027586,40.44763858,-123.1481731
D032720,38.7031,-122.5531
D032720,38.7032225,-122.551817
S027409,40.89119167,-123.6037
D032338,40.1187,-123.9462
D032338,40.1265,-123.94
D032338,40.1195,-123.9433
D032338,40.1203,-123.9457
D032567,40.208816,-123.868399
S027410,41.333553,-122.829522
D032616,40.6706065,-122.9130354
D032566,40.20858,-123.868976
D032296,40.147,-123.8781
D032651,39.9016,-123.5944
D032651,39.944,-123.554
D032651,39.942,-123.555
D032651,39.915,-123.575
D032651,39.932,-123.526
D032644,40.797,-123.606
D032644,40.7977,-123.599
D032477,40.428,-123.6898
A012919B,39.198,-123.1827
D032808,40.1369,-123.9785
A020629,39.96105577,-122.2215551
D032657,40.0274,-123.916
D032337,40.1184,-123.7715
D032337,40.1181,-123.7726
D032337,40.1174,-123.7712
D032337,40.117,-123.7722
D032337,40.1175,-123.7722
D032552,40.725,-123.905
D032415,40.197,-123.876
